City_ID,City,Lat,Lng,Max Temp C,Humidity,Cloudiness,Wind Speed,Country,Date
76,PORT ELIZABETH,-33.918,25.5701,16.17,93,20,5.14,ZA,1695937457
77,YUZHNO-KURILSK,44.0306,145.8556,14.14,93,100,2.61,RU,1695937458
78,BOUSSO,10.4795,16.7117,24.25,85,71,2.15,TD,1695937458
79,CHIBOUGAMAU,49.9168,-74.3659,18.79,39,0,2.06,CA,1695937458
80,MARGARET RIVER,-33.95,115.0667,11.8,87,4,2.05,AU,1695937459
81,ALICE SPRINGS,-23.7,133.8833,14.75,44,75,1.03,AU,1695937216
82,TURA,64.2833,100.25,0.57,54,100,1.67,RU,1695937459
83,MIRNYY,62.5353,113.9611,2.91,86,100,3.13,RU,1695937460
84,HORTA,38.5333,-28.6333,20.57,93,94,0.89,PT,1695937460
85,VICUNA,-30.0319,-70.7081,23.21,46,1,2.49,CL,1695937339
86,UTUROA,-16.7333,-151.4333,25.44,78,15,7.98,PF,1695937461
87,GEORGETOWN,-7.9333,-14.4167,23.36,76,63,8.35,SH,1695937461
88,OLA,59.5833,151.2833,3.97,88,78,1.64,RU,1695937461
89,SAINT-JEAN-DE-MAURIENNE,45.1667,6.5833,8.39,79,7,0.54,FR,1695937462
90,VALPARAISO,-33.0393,-71.6273,19.13,62,0,7.2,CL,1695937462
91,WAILUA HOMESTEADS,22.0669,-159.378,28.24,67,20,5.66,US,1695937462
92,HAMMERFEST,70.6634,23.6821,11.25,76,40,1.54,NO,1695937463
93,ATAFU VILLAGE,-8.5421,-172.5159,28.47,77,70,6.87,TK,1695937226
94,SOSNOGORSK,63.6023,53.8817,10.21,95,100,1.96,RU,1695937463
95,ISAFJORDUR,66.0755,-23.124,3.43,96,100,3.74,IS,1695937464
96,KANGDING,30.0513,101.9603,11.84,95,76,0.73,CN,1695937464
97,NECOCHEA,-38.5473,-58.7368,11.95,67,100,4.14,AR,1695937464
98,RIDGECREST,35.6225,-117.6709,32.6,24,0,1.54,US,1695937248
99,YAREN,-0.5472,166.916,28.17,74,44,2.09,NR,1695937465
100,PITIMBU,-7.4706,-34.8086,26.33,76,86,3.08,BR,1695937465
101,PORT MATHURIN,-19.6833,63.4167,22.4,82,88,8.8,MU,1695937466
102,KLYUCHI,52.2667,79.1667,10.63,67,100,1.96,RU,1695937466
103,MISSION,49.1338,-122.3144,16.66,72,75,6.17,CA,1695937466
104,FLYING FISH COVE,-10.4217,105.6791,23.82,88,100,5.14,CX,1695937467
105,PIMENTEL,-6.8367,-79.9342,24.16,64,0,11.32,PE,1695937467
106,LEWISTOWN,40.5992,-77.5714,19.41,80,40,2.57,US,1695937418
107,TRELEW,-43.249,-65.3051,8.44,62,99,7.69,AR,1695937468
108,KODIAK,57.79,-152.4072,9.73,53,0,1.54,US,1695937468
109,KARRATHA,-20.7377,116.8463,26.88,27,57,2.61,AU,1695937468
110,KIRKWALL,58.9848,-2.9587,13.03,88,20,5.66,GB,1695937469
111,KISMAYO,-0.3582,42.5454,25.75,85,9,6.24,SO,1695937469
112,SALINOPOLIS,-0.6136,-47.3561,27.23,74,10,6.02,BR,1695937470
113,NIZHNEUDINSK,54.9076,99.0276,5.4,83,98,1.48,RU,1695937470
114,BARRA DO CORDA,-5.5,-45.25,32.58,29,85,2.65,BR,1695937470
